ADM2_PCODE,ADM_PCODE,education_count,hospitals_count,primary_healthcare_count
UY01002,UY01002,5,0,0
UY01003,UY01003,19,2,7
UY01004,UY01004,3,0,0
UY01005,UY01005,4,0,2
UY01006,UY01006,40,4,0
UY01007,UY01007,7,0,2
UY01008,UY01008,7,0,0
UY01009,UY01009,6,0,0
UY02162,UY02162,18,1,1
UY02165,UY02165,13,1,1
UY02171,UY02171,9,0,1
UY02172,UY02172,8,0,2
UY02175,UY02175,8,0,0
UY02181,UY02181,11,0,0
UY02182,UY02182,24,2,1
UY02183,UY02183,10,0,0
UY02324,UY02324,18,2,1
UY02338,UY02338,12,0,2
UY02340,UY02340,18,0,2
UY02342,UY02342,18,0,5
UY02343,UY02343,30,0,6
UY02344,UY02344,66,7,10
UY02346,UY02346,0,0,0
UY02347,UY02347,9,0,3
UY02348,UY02348,48,2,12
UY02349,UY02349,42,1,21
UY03034,UY03034,13,0,0
UY03046,UY03046,4,0,0
UY03047,UY03047,9,0,0
UY03052,UY03052,41,1,0
UY03054,UY03054,5,0,0
UY03055,UY03055,5,0,0
UY03057,UY03057,3,0,0
UY03061,UY03061,1,0,0
UY03062,UY03062,11,0,0
UY03065,UY03065,9,0,0
UY03066,UY03066,18,3,2
UY03067,UY03067,8,0,0
UY04139,UY04139,4,0,0
UY04145,UY04145,8,1,0
UY04146,UY04146,6,0,0
UY04152,UY04152,10,0,3
UY04197,UY04197,5,0,4
UY04310,UY04310,12,0,0
UY04314,UY04314,16,0,0
UY04315,UY04315,13,1,0
UY04356,UY04356,21,1,0
UY04382,UY04382,11,0,1
UY04461,UY04461,11,0,0
UY04528,UY04528,14,2,2
UY04531,UY04531,11,3,0
UY04540,UY04540,25,2,4
UY05114,UY05114,24,2,5
UY05063,UY05063,3,0,0
UY05071,UY05071,9,1,1
UY05072,UY05072,5,0,0
UY05079,UY05079,8,0,0
UY05080,UY05080,9,0,0
UY05081,UY05081,13,0,0
UY05085,UY05085,5,0,0
UY05089,UY05089,7,0,0
UY05092,UY05092,9,0,2
UY05093,UY05093,3,0,0
UY05095,UY05095,6,0,0
UY05097,UY05097,4,0,0
UY06100,UY06100,4,0,0
UY06102,UY06102,20,2,0
UY06106,UY06106,2,0,0
UY06118,UY06118,0,0,0
UY06124,UY06124,6,0,0
UY06130,UY06130,6,0,0
UY07101,UY07101,2,0,0
UY07113,UY07113,13,0,0
UY07116,UY07116,7,0,0
UY07117,UY07117,6,0,0
UY07119,UY07119,2,0,0
UY07131,UY07131,5,0,2
UY07132,UY07132,5,0,0
UY07135,UY07135,12,0,0
UY07140,UY07140,9,0,0
UY07141,UY07141,5,0,0
UY07147,UY07147,4,0,0
UY07149,UY07149,36,2,0
UY07169,UY07169,2,0,0
UY08109,UY08109,3,0,0
UY08110,UY08110,5,1,0
UY08115,UY08115,6,1,0
UY08121,UY08121,9,0,1
UY08133,UY08133,3,0,0
UY08137,UY08137,7,0,0
UY08138,UY08138,7,0,0
UY08144,UY08144,5,0,0
UY08156,UY08156,2,0,0
UY08157,UY08157,6,0,0
UY08161,UY08161,34,2,3
UY08166,UY08166,8,0,0
UY08179,UY08179,13,0,1
UY09307,UY09307,8,0,0
UY09321,UY09321,2,0,0
UY09332,UY09332,6,0,0
UY09337,UY09337,14,0,4
UY09339,UY09339,23,2,9
UY09341,UY09341,14,2,2
UY09345,UY09345,7,0,0
UY09351,UY09351,58,4,19
UY09523,UY09523,6,0,0
UY10354,UY10354,538,40,115
UY11026,UY11026,10,0,0
UY11031,UY11031,4,0,1
UY11035,UY11035,0,0,0
UY11037,UY11037,6,0,0
UY11039,UY11039,21,0,2
UY11040,UY11040,1,0,0
UY11041,UY11041,9,0,0
UY11045,UY11045,0,0,0
UY11048,UY11048,27,0,0
UY11049,UY11049,3,0,1
UY11050,UY11050,2,0,0
UY11056,UY11056,39,2,1
UY12058,UY12058,12,0,0
UY12059,UY12059,4,0,1
UY12060,UY12060,2,0,0
UY12064,UY12064,2,0,0
UY12069,UY12069,1,0,0
UY12070,UY12070,7,0,0
UY12073,UY12073,16,1,0
UY12074,UY12074,1,0,0
UY12075,UY12075,2,0,1
UY12076,UY12076,6,0,0
UY12084,UY12084,3,0,0
UY12099,UY12099,24,2,1
UY13012,UY13012,52,3,1
UY13015,UY13015,9,0,0
UY13016,UY13016,20,0,1
UY13017,UY13017,8,0,0
UY13022,UY13022,22,1,0
UY13023,UY13023,7,0,1
UY13025,UY13025,2,0,0
UY13028,UY13028,16,0,1
UY14103,UY14103,12,0,0
UY14128,UY14128,10,1,0
UY14289,UY14289,21,1,3
UY14291,UY14291,16,2,1
UY14294,UY14294,0,0,0
UY14308,UY14308,4,0,1
UY14317,UY14317,4,0,0
UY14320,UY14320,23,3,1
UY14328,UY14328,7,2,3
UY14521,UY14521,3,0,0
UY15011,UY15011,3,0,0
UY15013,UY15013,8,1,1
UY15014,UY15014,1,0,0
UY15150,UY15150,9,0,0
UY15151,UY15151,71,4,3
UY15018,UY15018,13,0,1
UY15019,UY15019,8,0,0
UY15021,UY15021,7,0,0
UY15250,UY15250,2,0,0
UY15027,UY15027,5,0,0
UY16142,UY16142,8,0,0
UY16153,UY16153,8,0,0
UY16154,UY16154,43,2,0
UY16159,UY16159,10,0,0
UY16167,UY16167,4,0,0
UY16312,UY16312,18,0,0
UY16336,UY16336,45,1,6
UY17105,UY17105,32,2,1
UY17107,UY17107,4,0,0
UY17111,UY17111,4,0,0
UY17112,UY17112,2,0,0
UY17120,UY17120,7,0,0
UY17122,UY17122,6,0,0
UY17123,UY17123,17,2,1
UY17125,UY17125,7,0,0
UY17126,UY17126,8,2,0
UY17129,UY17129,5,0,0
UY17136,UY17136,8,0,0
UY17090,UY17090,4,0,0
UY17096,UY17096,2,0,0
UY17098,UY17098,3,0,0
UY18020,UY18020,8,0,0
UY18024,UY18024,5,0,0
UY18029,UY18029,3,0,0
UY18030,UY18030,12,0,0
UY18032,UY18032,40,1,0
UY18033,UY18033,7,0,2
UY18036,UY18036,15,0,0
UY18038,UY18038,9,0,3
UY18042,UY18042,5,0,0
UY18043,UY18043,8,0,0
UY18044,UY18044,16,0,0
UY18051,UY18051,14,0,0
UY18053,UY18053,2,0,0
UY18068,UY18068,3,0,0
UY19104,UY19104,33,4,1
UY19108,UY19108,0,0,0
UY19001,UY19001,10,0,0
UY19078,UY19078,5,0,0
UY19082,UY19082,4,0,1
UY19083,UY19083,5,0,2
UY19086,UY19086,6,0,0
UY19087,UY19087,7,0,0
UY19088,UY19088,6,0,0
UY19091,UY19091,7,0,3
