ADM2_PCODE,ADM_PCODE,female_pop_rural,children_u5_rural,female_u5_rural,elderly_rural,pop_u15_rural,female_u15_rural,rural_pop_perc
UY01002,UY01002,125,9,5,44,22,12,100.0
UY01003,UY01003,1583,114,63,487,292,163,16.3
UY01004,UY01004,17,2,1,6,4,2,100.0
UY01005,UY01005,1314,181,95,342,544,285,100.0
UY01006,UY01006,1199,89,49,389,223,122,4.96
UY01007,UY01007,120,9,5,41,23,13,100.0
UY01008,UY01008,1534,144,77,480,374,200,100.0
UY01009,UY01009,23,2,1,8,5,3,100.0
UY02162,UY02162,3050,291,157,1124,839,450,54.27
UY02165,UY02165,927,97,51,306,295,155,20.2
UY02171,UY02171,1842,133,75,658,378,213,100.0
UY02172,UY02172,2122,228,123,736,663,359,99.31
UY02175,UY02175,2112,327,170,527,922,481,100.0
UY02181,UY02181,4171,434,235,1453,1246,675,100.0
UY02182,UY02182,4624,441,240,1638,1330,722,30.16
UY02183,UY02183,3483,418,223,1073,1228,653,100.0
UY02324,UY02324,2696,401,201,741,1218,610,25.65
UY02338,UY02338,4326,389,213,1564,1134,621,89.62
UY02340,UY02340,3934,348,188,1171,955,515,38.92
UY02342,UY02342,6420,1041,507,1580,2965,1443,52.5
UY02343,UY02343,2268,315,163,588,969,502,12.16
UY02344,UY02344,4206,606,315,1066,1800,935,6.41
UY02346,UY02346,88,6,2,46,25,10,100.0
UY02347,UY02347,622,65,33,209,191,98,5.95
UY02348,UY02348,2941,414,218,768,1259,651,4.09
UY02349,UY02349,1629,205,108,470,681,346,2.63
UY03034,UY03034,1704,311,156,350,923,463,100.0
UY03046,UY03046,22,4,2,4,15,7,100.0
UY03047,UY03047,1460,233,114,278,855,418,100.0
UY03052,UY03052,966,147,66,255,471,216,3.86
UY03054,UY03054,34,5,3,9,14,7,100.0
UY03055,UY03055,417,64,33,99,194,100,100.0
UY03057,UY03057,203,31,16,45,107,54,100.0
UY03061,UY03061,44,5,3,13,17,8,100.0
UY03062,UY03062,55,7,3,12,30,13,100.0
UY03065,UY03065,104,12,6,34,38,20,100.0
UY03066,UY03066,462,54,24,103,228,89,6.9
UY03067,UY03067,0,0,0,0,0,0,0.0
UY04139,UY04139,117,15,7,36,49,24,100.0
UY04145,UY04145,168,23,12,39,72,37,7.18
UY04146,UY04146,293,37,19,104,116,59,100.0
UY04152,UY04152,946,117,58,373,360,179,100.0
UY04197,UY04197,2067,251,129,640,777,401,100.0
UY04310,UY04310,597,70,36,241,227,116,39.81
UY04314,UY04314,1419,208,105,392,629,319,22.41
UY04315,UY04315,1394,198,102,360,608,313,28.94
UY04356,UY04356,1051,114,58,410,382,196,10.53
UY04382,UY04382,972,105,52,368,350,172,17.2
UY04461,UY04461,985,107,54,381,350,176,99.95
UY04528,UY04528,2824,295,151,1252,911,465,41.11
UY04531,UY04531,546,75,39,147,240,126,8.03
UY04540,UY04540,1862,287,146,475,852,433,10.53
UY05114,UY05114,1124,116,54,450,411,188,7.08
UY05063,UY05063,334,41,20,100,164,80,100.0
UY05071,UY05071,1499,210,103,450,760,371,100.0
UY05072,UY05072,345,49,24,103,166,83,100.0
UY05079,UY05079,142,19,10,43,63,32,5.48
UY05080,UY05080,804,104,51,252,381,185,100.0
UY05081,UY05081,230,31,15,72,104,50,5.15
UY05085,UY05085,92,13,6,31,43,21,100.0
UY05089,UY05089,78,10,5,22,35,17,100.0
UY05092,UY05092,1003,137,67,250,479,236,100.0
UY05093,UY05093,36,5,2,12,16,8,100.0
UY05095,UY05095,555,69,35,184,223,112,100.0
UY05097,UY05097,75,11,5,18,40,18,100.0
UY06100,UY06100,224,30,13,65,95,43,100.0
UY06102,UY06102,484,58,30,181,171,87,4.27
UY06106,UY06106,208,27,14,70,82,42,100.0
UY06118,UY06118,8,1,0,3,2,1,100.0
UY06124,UY06124,279,36,19,95,111,58,100.0
UY06130,UY06130,254,32,16,82,105,52,100.0
UY07101,UY07101,38,5,3,10,19,9,100.0
UY07113,UY07113,607,88,43,168,278,138,17.73
UY07116,UY07116,138,19,9,40,62,30,100.0
UY07117,UY07117,320,43,19,105,154,70,100.0
UY07119,UY07119,36,5,2,11,15,8,100.0
UY07131,UY07131,549,90,41,195,216,91,100.0
UY07132,UY07132,198,30,14,57,106,50,95.12
UY07135,UY07135,365,49,24,116,175,85,11.98
UY07140,UY07140,1913,224,116,646,698,362,100.0
UY07141,UY07141,1069,146,70,346,522,250,100.0
UY07147,UY07147,432,49,25,150,174,87,100.0
UY07149,UY07149,2839,380,189,907,1242,619,15.27
UY07169,UY07169,654,108,54,168,328,162,100.0
UY08109,UY08109,160,21,9,31,74,32,100.0
UY08110,UY08110,1285,217,98,375,597,270,100.0
UY08115,UY08115,2450,340,167,726,1130,553,100.0
UY08121,UY08121,240,33,14,69,124,53,100.0
UY08133,UY08133,72,11,5,21,35,16,100.0
UY08137,UY08137,659,150,65,241,340,143,100.0
UY08138,UY08138,54,8,4,17,26,13,100.0
UY08144,UY08144,151,20,10,40,68,32,100.0
UY08156,UY08156,45,6,3,13,21,10,100.0
UY08157,UY08157,113,14,7,37,46,24,100.0
UY08161,UY08161,1792,228,110,619,744,359,9.12
UY08166,UY08166,586,76,40,177,238,124,100.0
UY08179,UY08179,2692,398,205,782,1263,650,100.0
UY09307,UY09307,1118,186,92,311,595,293,100.0
UY09321,UY09321,22,3,1,9,8,4,100.0
UY09332,UY09332,57,9,4,16,28,13,100.0
UY09337,UY09337,3785,542,263,1438,1693,824,33.71
UY09339,UY09339,3230,437,215,1122,1492,735,24.04
UY09341,UY09341,127,20,9,42,60,28,1.48
UY09345,UY09345,1622,198,85,698,815,362,100.0
UY09351,UY09351,2642,289,145,1060,1010,507,4.17
UY09523,UY09523,616,77,32,129,283,117,100.0
UY10354,UY10354,6224,665,314,2660,2235,1043,1.0
UY11026,UY11026,751,139,66,152,432,206,100.0
UY11031,UY11031,76,12,6,14,49,23,100.0
UY11035,UY11035,30,5,2,9,14,6,100.0
UY11037,UY11037,73,12,5,16,44,20,100.0
UY11039,UY11039,1840,288,138,446,1072,513,100.0
UY11040,UY11040,13,3,1,4,6,2,100.0
UY11041,UY11041,381,69,33,74,239,113,100.0
UY11045,UY11045,94,14,7,26,42,22,100.0
UY11048,UY11048,2488,371,179,679,1230,589,14.51
UY11049,UY11049,832,171,83,163,506,246,100.0
UY11050,UY11050,89,12,6,24,46,23,100.0
UY11056,UY11056,1357,193,100,391,600,311,4.03
UY12058,UY12058,2675,370,180,730,1378,675,100.0
UY12059,UY12059,169,25,12,50,89,42,100.0
UY12060,UY12060,534,91,43,129,287,137,100.0
UY12064,UY12064,51,8,4,13,25,12,100.0
UY12069,UY12069,19,3,1,5,10,5,100.0
UY12070,UY12070,1250,210,103,367,658,322,100.0
UY12073,UY12073,1314,217,107,328,652,323,14.08
UY12074,UY12074,46,8,4,11,27,13,100.0
UY12075,UY12075,202,34,15,53,111,49,100.0
UY12076,UY12076,1159,200,97,299,604,291,100.0
UY12084,UY12084,118,20,9,28,69,31,100.0
UY12099,UY12099,1030,166,84,269,500,253,7.89
UY13012,UY13012,1883,323,163,339,1012,510,4.67
UY13015,UY13015,253,32,14,84,123,54,100.0
UY13016,UY13016,659,107,53,159,347,171,17.89
UY13017,UY13017,30,4,2,10,16,7,100.0
UY13022,UY13022,2203,316,151,599,1074,507,100.0
UY13023,UY13023,257,38,17,70,134,59,100.0
UY13025,UY13025,19,3,1,5,10,5,100.0
UY13028,UY13028,2076,255,126,491,986,488,100.0
UY14103,UY14103,1372,186,91,333,635,307,100.0
UY14128,UY14128,95,13,7,31,41,20,2.33
UY14289,UY14289,2643,350,179,737,1130,578,37.24
UY14291,UY14291,975,120,62,364,370,191,21.87
UY14294,UY14294,72,7,4,27,30,15,100.0
UY14308,UY14308,311,31,15,114,132,66,100.0
UY14317,UY14317,24,3,1,11,9,4,100.0
UY14320,UY14320,761,107,54,245,320,162,5.69
UY14328,UY14328,3062,448,220,791,1342,658,100.0
UY14521,UY14521,34,6,3,9,16,8,100.0
UY15011,UY15011,1004,133,65,252,500,247,100.0
UY15013,UY15013,1552,184,92,448,618,304,100.0
UY15014,UY15014,46,6,3,11,21,9,100.0
UY15150,UY15150,1562,249,122,407,938,458,99.81
UY15151,UY15151,4014,767,382,774,2295,1144,6.71
UY15018,UY15018,307,44,20,71,169,79,100.0
UY15019,UY15019,585,112,54,105,367,177,100.0
UY15021,UY15021,46,8,3,11,26,10,100.0
UY15250,UY15250,76,5,3,28,12,7,100.0
UY15027,UY15027,235,41,19,54,143,64,100.0
UY16142,UY16142,189,26,11,62,81,35,100.0
UY16153,UY16153,690,106,51,229,282,137,100.0
UY16154,UY16154,3887,463,223,1387,1449,699,16.66
UY16159,UY16159,711,110,50,259,311,142,100.0
UY16167,UY16167,93,14,6,32,40,18,100.0
UY16312,UY16312,2308,289,140,763,940,457,100.0
UY16336,UY16336,7477,1181,586,1758,3492,1732,27.08
UY17105,UY17105,1079,160,81,304,498,253,4.83
UY17107,UY17107,75,16,6,16,42,16,100.0
UY17111,UY17111,608,88,43,201,265,129,100.0
UY17112,UY17112,40,7,3,12,22,10,100.0
UY17120,UY17120,1188,184,88,356,596,285,100.0
UY17122,UY17122,1220,146,72,434,491,242,100.0
UY17123,UY17123,924,124,62,261,401,201,9.04
UY17125,UY17125,152,16,8,56,61,28,100.0
UY17126,UY17126,174,19,10,68,63,32,7.56
UY17129,UY17129,573,87,42,180,288,139,100.0
UY17136,UY17136,779,88,43,251,325,162,100.0
UY17090,UY17090,195,30,14,27,108,50,100.0
UY17096,UY17096,268,48,22,62,169,78,100.0
UY17098,UY17098,99,21,9,18,58,25,100.0
UY18020,UY18020,201,27,12,64,99,44,100.0
UY18024,UY18024,0,0,0,0,0,0,0.0
UY18029,UY18029,0,0,0,0,0,0,0.0
UY18030,UY18030,282,50,24,61,155,75,7.22
UY18032,UY18032,1040,152,76,244,502,253,3.77
UY18033,UY18033,818,117,56,229,433,209,100.0
UY18036,UY18036,478,77,36,129,262,123,87.82
UY18038,UY18038,1671,262,126,428,887,425,100.0
UY18042,UY18042,195,28,13,54,103,48,100.0
UY18043,UY18043,319,43,20,86,158,76,100.0
UY18044,UY18044,980,136,66,275,479,233,100.0
UY18051,UY18051,1198,165,82,283,614,304,100.0
UY18053,UY18053,31,4,2,9,16,8,100.0
UY18068,UY18068,53,7,4,15,23,12,100.0
UY19104,UY19104,1199,164,82,327,539,271,6.67
UY19108,UY19108,0,0,0,0,0,0,0.0
UY19001,UY19001,857,158,73,118,475,220,100.0
UY19078,UY19078,29,4,2,10,12,6,100.0
UY19082,UY19082,509,58,29,162,187,93,100.0
UY19083,UY19083,1195,175,88,366,596,300,100.0
UY19086,UY19086,1781,256,125,513,839,410,100.0
UY19087,UY19087,36,5,2,11,14,7,100.0
UY19088,UY19088,174,24,12,39,85,41,100.0
UY19091,UY19091,1590,209,104,381,778,385,100.0
